Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
16500	Kcnb1	MGI:96666		2.81E-07
56531	Ylpm1	MGI:1926195		2.81E-07
11532	Adh5	MGI:87929		2.90E-07
71791	Cpa4	MGI:1919041		2.92E-07
17886	Myh9	MGI:107717		2.92E-07
231125	Zfyve28	MGI:2684992		2.92E-07
74048	4632428N05Rik	MGI:1921298		3.10E-07
11883	Arsa	MGI:88077		3.10E-07
269855	A430110N23Rik	MGI:3606211		3.23E-07
18750	Prkca	MGI:97595	3.47E-04	3.31E-07
55947	Dclre1a	MGI:1930042		3.31E-07
13446	Doc2a	MGI:109446		3.31E-07
13593	Ebf3	MGI:894289		3.31E-07
57028	Pdxp	MGI:1919282		3.31E-07
83493	Sacm1l	MGI:1933169		3.31E-07
56224	Tspan5	MGI:1928096		3.31E-07
81006	Gpr63	MGI:2135884		3.34E-07
20017	Polr1b	MGI:108014		3.34E-07
69470	Tmem127	MGI:1916720		3.43E-07
64143	Ralb	MGI:1927244		3.47E-07
70233	Cd2bp2	MGI:1917483		3.61E-07
14555	Gpd1	MGI:95679		4.53E-07
13992	Khdrbs3	MGI:1313312		5.16E-07
238330	6430527G18Rik	MGI:2442463		5.22E-07
11752	Anxa8	MGI:1201374		5.22E-07
15184	Hdac5	MGI:1333784		5.22E-07
53415	Htatip2	MGI:1859271		5.22E-07
69032	Lyzl4	MGI:1916282		5.22E-07
18503	Pax1	MGI:97485		5.22E-07
71599	Senp8	MGI:1918849		5.22E-07
75219	Dusp18	MGI:1922469	6.74E-04	5.35E-07
231801	Agfg2	MGI:2443267		5.35E-07
11684	Alox12	MGI:87998		6.12E-07
68877	Maf1	MGI:1916127		6.27E-07
18294	Ogg1	MGI:1097693		6.27E-07
12352	Car5a	MGI:101946		6.45E-07
17773	Mtnr1a	MGI:102967		7.23E-07
30045	Dnajc12	MGI:1353428		7.61E-07
15571	Elavl3	MGI:109157		8.05E-07
73225	Fam118a	MGI:1920475		8.05E-07
76932	Arfip2	MGI:1924182		8.05E-07
330361	AW146020	MGI:2141656		8.05E-07
76183	Brunol6	MGI:1923433		8.05E-07
225724	Mapk4	MGI:2444559		8.05E-07
83679	Pde4dip	MGI:1891434		8.05E-07
208177	Phldb2	MGI:2444981		8.05E-07
225362	Reep2	MGI:2385070		8.05E-07
77254	Yif1b	MGI:1924504		8.05E-07
214766	Mmp21	MGI:2664387		8.11E-07
20732	Spint1	MGI:1338033		8.11E-07
76267	Fads1	MGI:1923517		8.41E-07
59045	Stard3	MGI:1929618		9.17E-07
21685	Tef	MGI:98663	3.47E-05	9.85E-07
14377	G6pc	MGI:95607	1.42E-04	9.85E-07
74488	Lrrc15	MGI:1921738		9.85E-07
72930	Ppp2r2b	MGI:1920180		9.85E-07
22404	Wiz	MGI:1332638		9.85E-07
233332	Adamts17	MGI:3588195		9.91E-07
